dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
domainnet,345,0,UniOT,sketch,painting,45.54,50.33,65.56,65.04
domainnet,345,0,UniOT,sketch,real,56.97,57.59,76.46,76.03
domainnet,345,0,ClipDistill,painting,real,69.06,68.06,87.49,86.88
domainnet,345,0,ClipDistill,painting,sketch,48.74,50.55,75.32,77.0
domainnet,345,0,ClipDistill,real,painting,45.67,44.35,76.13,73.93
domainnet,345,0,ClipDistill,real,sketch,49.03,50.9,75.45,77.23
domainnet,345,0,ClipDistill,sketch,painting,45.67,44.35,76.13,73.93
domainnet,345,0,ClipDistill,sketch,real,69.32,68.37,87.66,87.11
domainnet,345,0,AutoDistill,painting,real,66.84,66.03,76.53,75.47
domainnet,345,0,AutoDistill,painting,sketch,56.82,56.86,62.88,62.92
domainnet,345,0,AutoDistill,real,painting,58.82,56.38,67.42,64.7
domainnet,345,0,AutoDistill,real,sketch,54.19,56.5,62.76,65.22
domainnet,345,0,AutoDistill,sketch,painting,58.63,56.55,67.08,65.02
domainnet,345,0,AutoDistill,sketch,real,64.71,64.03,78.48,77.52
