dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
officehome,10,5,AutoDistill,Product,Clipart,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,Product,RealWorld,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,RealWorld,Art,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,RealWorld,Clipart,nan,nan,nan,nan,nan
officehome,10,5,AutoDistill,RealWorld,Product,nan,nan,nan,nan,nan
visda,6,3,SO,syn,real,49.96,57.53,65.03,64.12,50.36
visda,6,3,DANCE,syn,real,45.9,53.89,61.84,69.5,41.33
visda,6,3,OVANet,syn,real,62.34,58.03,65.45,60.05,46.48
visda,6,3,UniOT,syn,real,48.78,56.6,61.94,68.45,44.15
visda,6,3,ClipDistill,syn,real,81.61,83.82,85.16,88.82,82.99
visda,6,3,AutoDistill,syn,real,nan,nan,nan,nan,nan
domainnet,150,50,SO,painting,real,59.62,71.74,76.17,86.28,67.3
domainnet,150,50,SO,painting,sketch,55.54,68.13,67.99,84.17,57.35
domainnet,150,50,SO,real,painting,54.89,67.37,70.07,83.29,60.28
domainnet,150,50,SO,real,sketch,55.56,67.5,67.57,82.19,57.72
domainnet,150,50,SO,sketch,painting,52.65,64.85,68.22,80.52,58.33
domainnet,150,50,SO,sketch,real,58.0,70.71,75.39,84.6,67.72
domainnet,150,50,DANCE,painting,real,59.03,71.64,76.09,87.17,67.98
domainnet,150,50,DANCE,painting,sketch,55.73,68.86,68.47,85.77,60.11
domainnet,150,50,DANCE,real,painting,53.68,67.64,70.26,84.54,62.85
domainnet,150,50,DANCE,real,sketch,55.3,68.76,68.4,84.33,61.64
domainnet,150,50,DANCE,sketch,painting,51.62,65.19,68.48,82.33,60.58
domainnet,150,50,DANCE,sketch,real,56.7,70.36,75.13,85.87,67.96
domainnet,150,50,OVANet,painting,real,74.98,51.66,59.74,81.89,64.04
domainnet,150,50,OVANet,painting,sketch,55.97,66.05,66.59,78.65,53.42
domainnet,150,50,OVANet,real,painting,57.9,66.69,69.58,80.24,58.34
domainnet,150,50,OVANet,real,sketch,52.41,64.24,65.36,76.45,53.91
domainnet,150,50,OVANet,sketch,painting,65.0,53.8,59.63,78.38,56.9
domainnet,150,50,OVANet,sketch,real,78.44,32.11,40.65,81.09,64.97
