dataset,n_share,n_source_private,method,source,target,AA,H-score,H3-score,AUROC,OSCR
domainnet,150,50,SO,real,sketch,35.07,41.1,41.54,63.2,26.03
domainnet,150,50,SO,sketch,painting,29.72,28.05,31.99,61.31,21.6
domainnet,150,50,SO,sketch,real,49.37,37.67,43.08,66.86,33.85
domainnet,150,50,DANCE,painting,real,61.51,20.09,26.22,66.8,42.56
domainnet,150,50,DANCE,painting,sketch,37.93,25.86,29.49,59.43,23.88
domainnet,150,50,DANCE,real,painting,46.07,34.6,38.98,63.87,35.89
domainnet,150,50,DANCE,real,sketch,41.17,41.83,42.53,62.45,29.33
domainnet,150,50,DANCE,sketch,painting,33.97,18.68,23.42,57.89,25.61
domainnet,150,50,DANCE,sketch,real,59.22,20.42,26.47,64.29,38.99
domainnet,150,50,OVANet,painting,real,53.66,55.29,58.24,71.18,43.03
domainnet,150,50,OVANet,painting,sketch,32.85,45.35,44.2,65.0,27.57
domainnet,150,50,OVANet,real,painting,41.39,52.17,52.12,68.69,38.18
domainnet,150,50,OVANet,real,sketch,32.38,44.69,43.67,62.8,27.65
domainnet,150,50,OVANet,sketch,painting,32.47,44.62,46.09,65.82,30.79
domainnet,150,50,OVANet,sketch,real,49.24,55.32,57.72,69.34,39.34
domainnet,150,50,UniOT,painting,real,55.1,56.75,55.7,68.86,43.41
domainnet,150,50,UniOT,painting,sketch,38.57,47.4,42.39,63.4,27.72
domainnet,150,50,UniOT,real,painting,42.85,51.72,47.78,66.09,36.16
domainnet,150,50,UniOT,real,sketch,37.81,47.23,42.51,62.07,28.57
domainnet,150,50,UniOT,sketch,painting,36.84,46.17,44.28,63.13,29.8
domainnet,150,50,UniOT,sketch,real,52.86,56.02,54.78,67.19,41.48
domainnet,150,50,ClipDistill,painting,real,72.04,79.38,79.99,89.02,78.34
domainnet,150,50,ClipDistill,painting,sketch,58.63,71.18,67.9,84.42,67.03
domainnet,150,50,ClipDistill,real,painting,52.59,67.17,67.73,85.43,69.67
domainnet,150,50,ClipDistill,real,sketch,58.66,71.17,67.84,84.38,66.94
domainnet,150,50,ClipDistill,sketch,painting,52.63,67.18,67.75,85.36,69.63
domainnet,150,50,ClipDistill,sketch,real,71.92,79.35,79.98,89.03,78.32
domainnet,150,50,AutoDistill,painting,real,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,painting,sketch,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,real,painting,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,real,sketch,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,sketch,painting,nan,nan,nan,nan,nan
domainnet,150,50,AutoDistill,sketch,real,nan,nan,nan,nan,nan
