dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
officehome,25,40,UB2DA,Art,Clipart,1.11,1.81,81.81,81.91
officehome,25,40,UB2DA,Art,Product,6.03,6.44,91.43,91.92
officehome,25,40,UB2DA,Art,RealWorld,4.66,4.59,94.59,93.62
officehome,25,40,UB2DA,Clipart,Art,1.1,1.92,90.27,86.92
officehome,25,40,UB2DA,Clipart,Product,6.03,6.44,91.43,91.92
officehome,25,40,UB2DA,Clipart,RealWorld,4.66,4.59,94.59,93.62
officehome,25,40,UB2DA,Product,Art,1.1,1.92,90.27,86.92
officehome,25,40,UB2DA,Product,Clipart,1.11,1.81,81.81,81.91
officehome,25,40,UB2DA,Product,RealWorld,4.66,4.59,94.59,93.62
officehome,25,40,UB2DA,RealWorld,Art,1.1,1.92,90.27,86.92
officehome,25,40,UB2DA,RealWorld,Clipart,1.11,1.81,81.81,81.91
officehome,25,40,UB2DA,RealWorld,Product,6.03,6.44,91.43,91.92
officehome,25,40,debug,Art,Clipart,19.94,25.7,82.01,82.13
officehome,25,40,debug,Art,Product,52.44,51.79,91.47,91.97
officehome,25,40,debug,Art,RealWorld,48.61,48.21,94.77,93.82
officehome,25,40,debug,Clipart,Art,25.31,28.57,90.33,87.03
officehome,25,40,debug,Clipart,Product,52.44,51.79,91.47,91.97
officehome,25,40,debug,Clipart,RealWorld,48.61,48.21,94.77,93.82
officehome,25,40,debug,Product,Art,25.31,28.57,90.33,87.03
officehome,25,40,debug,Product,Clipart,19.94,25.7,82.01,82.13
officehome,25,40,debug,Product,RealWorld,48.61,48.21,94.77,93.82
officehome,25,40,debug,RealWorld,Art,25.31,28.57,90.33,87.03
officehome,25,40,debug,RealWorld,Clipart,19.94,25.7,82.01,82.13
officehome,25,40,debug,RealWorld,Product,52.44,51.79,91.47,91.97
officehome,25,40,debug0.3,Art,Clipart,64.46,65.51,82.39,82.65
officehome,25,40,debug0.3,Art,Product,88.01,88.32,91.6,92.13
officehome,25,40,debug0.3,Art,RealWorld,90.39,89.15,94.86,93.88
officehome,25,40,debug0.3,Clipart,Art,74.9,73.13,90.73,87.28
officehome,25,40,debug0.3,Clipart,Product,88.01,88.32,91.6,92.13
officehome,25,40,debug0.3,Clipart,RealWorld,90.39,89.15,94.86,93.88
officehome,25,40,debug0.3,Product,Art,74.9,73.13,90.73,87.28
officehome,25,40,debug0.3,Product,Clipart,64.46,65.51,82.39,82.65
officehome,25,40,debug0.3,Product,RealWorld,90.39,89.15,94.86,93.88
officehome,25,40,debug0.3,RealWorld,Art,74.9,73.13,90.73,87.28
officehome,25,40,debug0.3,RealWorld,Clipart,64.46,65.51,82.39,82.65
officehome,25,40,debug0.3,RealWorld,Product,88.01,88.32,91.6,92.13
officehome,25,40,WiSE-FT,Art,Clipart,6.79,9.8,82.93,83.08
officehome,25,40,WiSE-FT,Art,Product,17.44,17.69,91.69,92.25
officehome,25,40,WiSE-FT,Art,RealWorld,23.76,22.75,93.82,92.85
officehome,25,40,WiSE-FT,Clipart,Art,5.02,6.1,88.03,85.13
officehome,25,40,WiSE-FT,Clipart,Product,11.17,11.27,87.58,87.4
officehome,25,40,WiSE-FT,Clipart,RealWorld,13.29,13.4,91.9,90.45
officehome,25,40,WiSE-FT,Product,Art,10.53,11.26,84.21,81.74
officehome,25,40,WiSE-FT,Product,Clipart,5.19,7.26,82.07,81.15
officehome,25,40,WiSE-FT,Product,RealWorld,30.55,29.79,93.34,92.18
officehome,25,40,WiSE-FT,RealWorld,Art,18.12,17.6,88.77,87.15
officehome,25,40,WiSE-FT,RealWorld,Clipart,10.83,13.3,84.82,83.05
officehome,25,40,WiSE-FT,RealWorld,Product,39.22,38.55,92.12,92.75
visda,6,6,SO,syn,real,48.09,57.19,79.51,84.01
visda,6,6,DANCE,syn,real,38.58,49.5,56.4,68.69
visda,6,6,OVANet,syn,real,35.89,42.58,79.58,84.1
visda,6,6,UniOT,syn,real,52.88,62.03,74.78,80.85
visda,6,6,ClipCrossModel,syn,real,58.88,67.98,83.76,88.22
visda,6,6,ClipZeroShot,syn,real,65.31,71.32,88.1,92.42
visda,6,6,UB2DA,syn,real,2.1,3.27,88.12,92.45
visda,6,6,debug,syn,real,32.85,40.21,88.12,92.45
visda,6,6,debug0.3,syn,real,73.29,81.07,88.74,93.05
visda,6,6,WiSE-FT,syn,real,21.56,27.4,84.43,88.81
