dataset,n_share,n_source_private,method,source,target,OA,AA,Closed-set OA,Closed-set AA
office31,10,21,debug0.3,webcam,dslr,0.3,0.21,0.0,0.0
office31,10,21,WiSE-FT,amazon,dslr,0.3,0.39,0.0,0.0
office31,10,21,WiSE-FT,amazon,webcam,0.16,0.15,0.16,0.16
office31,10,21,WiSE-FT,dslr,amazon,0.38,0.36,0.05,0.05
office31,10,21,WiSE-FT,dslr,webcam,0.16,0.18,0.0,0.0
office31,10,21,WiSE-FT,webcam,amazon,0.38,0.44,0.09,0.09
office31,10,21,WiSE-FT,webcam,dslr,0.3,0.39,0.3,0.47
officehome,25,40,SO,Art,Clipart,0.25,0.19,0.32,0.36
officehome,25,40,SO,Art,Product,0.42,0.35,0.24,0.22
officehome,25,40,SO,Art,RealWorld,0.31,0.35,0.14,0.16
officehome,25,40,SO,Clipart,Art,0.07,0.1,0.38,0.44
officehome,25,40,SO,Clipart,Product,0.52,0.47,0.21,0.22
officehome,25,40,SO,Clipart,RealWorld,0.18,0.17,0.33,0.34
officehome,25,40,SO,Product,Art,0.4,0.26,0.3,0.38
officehome,25,40,SO,Product,Clipart,0.13,0.14,0.22,0.23
officehome,25,40,SO,Product,RealWorld,0.14,0.12,0.09,0.09
officehome,25,40,SO,RealWorld,Art,0.16,0.17,0.16,0.14
officehome,25,40,SO,RealWorld,Clipart,0.15,0.1,0.16,0.13
officehome,25,40,SO,RealWorld,Product,0.14,0.12,0.1,0.07
officehome,25,40,DANCE,Art,Clipart,0.27,0.17,0.34,0.34
officehome,25,40,DANCE,Art,Product,2.44,1.78,1.63,1.34
officehome,25,40,DANCE,Art,RealWorld,2.09,1.62,0.4,0.37
officehome,25,40,DANCE,Clipart,Art,1.34,1.16,0.6,0.89
officehome,25,40,DANCE,Clipart,Product,0.12,0.22,0.52,0.57
officehome,25,40,DANCE,Clipart,RealWorld,3.74,2.92,0.83,0.73
officehome,25,40,DANCE,Product,Art,2.92,1.81,0.81,0.7
officehome,25,40,DANCE,Product,Clipart,1.12,0.81,0.7,0.92
officehome,25,40,DANCE,Product,RealWorld,2.9,2.65,0.18,0.19
officehome,25,40,DANCE,RealWorld,Art,0.19,0.35,0.11,0.15
officehome,25,40,DANCE,RealWorld,Clipart,0.48,0.79,0.35,0.4
officehome,25,40,DANCE,RealWorld,Product,0.05,0.06,0.09,0.09
officehome,25,40,OVANet,Art,Clipart,0.44,0.43,0.12,0.16
officehome,25,40,OVANet,Art,Product,0.23,0.3,0.12,0.11
officehome,25,40,OVANet,Art,RealWorld,0.32,0.39,0.09,0.11
officehome,25,40,OVANet,Clipart,Art,0.54,0.48,0.3,0.3
officehome,25,40,OVANet,Clipart,Product,1.68,1.41,0.03,0.09
officehome,25,40,OVANet,Clipart,RealWorld,0.2,0.26,0.29,0.32
officehome,25,40,OVANet,Product,Art,0.42,0.48,0.0,0.12
officehome,25,40,OVANet,Product,Clipart,1.26,1.0,0.15,0.06
officehome,25,40,OVANet,Product,RealWorld,0.17,0.16,0.08,0.08
officehome,25,40,OVANet,RealWorld,Art,0.11,0.23,0.17,0.22
officehome,25,40,OVANet,RealWorld,Clipart,0.16,0.2,0.2,0.19
officehome,25,40,OVANet,RealWorld,Product,0.4,0.52,0.44,0.41
officehome,25,40,UniOT,Art,Clipart,0.27,0.19,1.24,1.2
officehome,25,40,UniOT,Art,Product,1.0,0.93,0.76,0.92
officehome,25,40,UniOT,Art,RealWorld,1.26,1.07,1.72,1.43
officehome,25,40,UniOT,Clipart,Art,0.53,0.58,3.19,2.46
officehome,25,40,UniOT,Clipart,Product,1.65,2.14,2.08,2.64
officehome,25,40,UniOT,Clipart,RealWorld,3.29,3.9,2.56,2.98
officehome,25,40,UniOT,Product,Art,1.02,1.5,0.74,1.12
officehome,25,40,UniOT,Product,Clipart,0.25,0.48,1.23,1.12
officehome,25,40,UniOT,Product,RealWorld,1.31,1.05,1.01,1.14
officehome,25,40,UniOT,RealWorld,Art,0.52,0.6,0.87,0.75
officehome,25,40,UniOT,RealWorld,Clipart,0.42,0.44,0.61,0.27
officehome,25,40,UniOT,RealWorld,Product,2.49,2.23,0.11,0.07
officehome,25,40,ClipCrossModel,Art,Clipart,0.1,0.04,0.15,0.17
officehome,25,40,ClipCrossModel,Art,Product,0.21,0.25,0.12,0.12
officehome,25,40,ClipCrossModel,Art,RealWorld,0.21,0.24,0.16,0.15
officehome,25,40,ClipCrossModel,Clipart,Art,0.19,0.17,0.09,0.11
officehome,25,40,ClipCrossModel,Clipart,Product,0.32,0.36,0.1,0.07
officehome,25,40,ClipCrossModel,Clipart,RealWorld,0.16,0.13,0.05,0.11
officehome,25,40,ClipCrossModel,Product,Art,0.22,0.19,0.04,0.03
officehome,25,40,ClipCrossModel,Product,Clipart,0.15,0.12,0.32,0.38
officehome,25,40,ClipCrossModel,Product,RealWorld,0.12,0.09,0.03,0.06
officehome,25,40,ClipCrossModel,RealWorld,Art,0.13,0.2,0.09,0.08
officehome,25,40,ClipCrossModel,RealWorld,Clipart,0.18,0.29,0.05,0.13
officehome,25,40,ClipCrossModel,RealWorld,Product,0.2,0.18,0.12,0.11
officehome,25,40,ClipZeroShot,Art,Clipart,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,Art,Product,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,Art,RealWorld,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,Clipart,Art,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,Clipart,Product,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,Clipart,RealWorld,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,Product,Art,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,Product,Clipart,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,Product,RealWorld,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,RealWorld,Art,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,RealWorld,Clipart,0.0,0.0,0.0,0.0
officehome,25,40,ClipZeroShot,RealWorld,Product,0.0,0.0,0.0,0.0
officehome,25,40,UB2DA,Art,Clipart,0.03,0.05,0.03,0.03
officehome,25,40,UB2DA,Art,Product,0.05,0.06,0.0,0.0
officehome,25,40,UB2DA,Art,RealWorld,0.03,0.03,0.0,0.0
officehome,25,40,UB2DA,Clipart,Art,0.0,0.0,0.0,0.0
officehome,25,40,UB2DA,Clipart,Product,0.05,0.06,0.0,0.0
officehome,25,40,UB2DA,Clipart,RealWorld,0.03,0.03,0.0,0.0
officehome,25,40,UB2DA,Product,Art,0.0,0.0,0.0,0.0
officehome,25,40,UB2DA,Product,Clipart,0.03,0.05,0.03,0.03
officehome,25,40,UB2DA,Product,RealWorld,0.03,0.03,0.0,0.0
officehome,25,40,UB2DA,RealWorld,Art,0.0,0.0,0.0,0.0
officehome,25,40,UB2DA,RealWorld,Clipart,0.03,0.05,0.03,0.03
